date,Location,Layer,Variable,Value
8/28/2017,Visayan,0,Velu,65.46785714
8/28/2017,Visayan,0,Velv,64.62142857
8/28/2017,southsibuyan,0,Temp,29.03948571
8/28/2017,southsibuyan,0,Sal,14031.82857
8/28/2017,southsibuyan,0,Velu,63.11428571
8/28/2017,southsibuyan,0,Velv,27.92857143
8/28/2017,southsibuyan,1,Temp,11.65439098
8/28/2017,southsibuyan,1,Sal,15361.8797
8/28/2017,southsibuyan,1,Velu,0.097744361
8/28/2017,southsibuyan,1,Velv,2.090225564
8/28/2017,sibuyan,0,Temp,29.20069643
8/28/2017,sibuyan,0,Sal,14111.275
8/28/2017,sibuyan,0,Velu,75.43571429
8/28/2017,sibuyan,0,Velv,63.54642857
8/28/2017,sibuyan,1,Temp,8.695304762
8/28/2017,sibuyan,1,Sal,15327.21905
8/28/2017,sibuyan,1,Velu,-3.152380952
8/28/2017,sibuyan,1,Velv,3.1
8/28/2017,tablas,0,Temp,29.21045714
8/28/2017,tablas,0,Sal,13949.59643
8/28/2017,tablas,0,Velu,56.70714286
8/28/2017,tablas,0,Velv,31.5
8/28/2017,tablas,1,Temp,11.92941667
8/28/2017,tablas,1,Sal,14907.95238
8/28/2017,tablas,1,Velu,1.726190476
8/28/2017,tablas,1,Velv,28.99206349
8/28/2017,surigao,0,Temp,29.37854762
8/28/2017,surigao,0,Sal,14046.03571
8/28/2017,surigao,0,Velu,-223.4166667
8/28/2017,surigao,0,Velv,-220.8869048
8/28/2017,surigao,1,Temp,7.763464286
8/28/2017,surigao,1,Sal,14407.96032
8/28/2017,surigao,1,Velu,1.123015873
8/28/2017,surigao,1,Velv,1.150793651
8/28/2017,Mindoro,0,Temp,28.57244898
8/28/2017,Mindoro,0,Sal,13620.95918
